,value
3361,"On the basis of the latest data, survey releases and various indicator-based estimates, it appears that robust growth is continuing in the first half of 2007. 
"
3362,"Global economic growth has become more balanced across regions and, while moderating somewhat in recent quarters, remains strong."
3363,"Looking ahead, the medium-term outlook for economic activity remains favourable."
3364,"As regards the external environment, global economic growth has become more balanced across regions and, while moderating somewhat, remains robust."
3365,"All in all, the data available suggest that economic activity in the euro area is continuing to expand at sustained rates."
3366,Providing such an anchor for medium and long-term inflation expectations is all the more important at times of financial market volatility and increased uncertainty.
3367,"On the basis of the available data, it appears that the sustained real economic growth experienced in the euro area in the first half of 2007 has continued through the third quarter, as reflected in the data for industrial production and retail sales that have been released since our meeting in early October."
3368,"According to Eurostat’s first estimate, the quarter-on-quarter growth rate of euro area real GDP in the third quarter of 2007 was 0.7%, in line with the earlier flash estimate."
3369,"We will continue to monitor very closely all developments over the coming weeks.
"
3370,"Looking ahead, while the slowdown in the economies of some of the euro area’s major trading partners is likely to have an impact on euro area real GDP growth in 2008, both domestic and foreign demand are expected to support ongoing growth."
3371,"Allow me to explain our assessment in greater detail, starting with the economic analysis. 
"
3372,"We will continue to monitor very closely all developments over the coming weeks.
"
3373,"We will continue to monitor very closely all developments over the coming weeks.
"
3374,It is in a state of heightened alertness.
3375,"Information that has become available since the June press conference confirms our previous expectation of rather weak real GDP growth in the second quarter of 2008, in part as a technical counter-reaction to the strong quarter-on-quarter increase of 0.8% in the first quarter."
3376,The information on economic activity that has become available since the July press conference suggests that real GDP growth figures for mid-2008 will be substantially weaker than for the first quarter of the year.
3377,"According to Eurostat’s first estimate, following strong quarterly growth of 0.7% in the first quarter, euro area real GDP contracted by 0.2% in the second quarter of 2008."
3378,"Allow me to explain our assessment in greater detail, starting with the economic analysis. 
"
3379,"In so doing, it supports sustainable growth and employment and contributes to financial stability."
3380,"Allow me to explain our assessment in greater detail, starting with the economic analysis. 
"
3381,"All in all, the level of uncertainty remains exceptionally high."
3382,"Foreign demand for euro area exports has declined, and domestic factors, notably very low confidence and tight financing conditions, have adversely affected domestic demand."
3383,"Let me now explain our assessment in greater detail, starting with the economic analysis."
3384,"Let me now explain our assessment in greater detail, starting with the economic analysis."
3385,"Furthermore, the Governing Council has decided that the European Investment Bank will become an eligible counterparty in the Eurosystem’s monetary policy operations with effect from 8 July 2009 and under the same conditions as any other counterparty.
"
3386,"According to Eurostat’s first estimate, economic activity in the euro area contracted by 2.5% quarter on quarter, after a decline of 1.8% in the fourth quarter of 2008."
3387,"Let me now explain our assessment in further detail, starting with the economic analysis."
3388,The data and survey information that have become available since our meeting on 2 July 2009 have broadly confirmed our previous expectations.
3389,"The outcome of the monetary analysis confirms the assessment of low inflationary pressure over the medium term, as money and credit expansion continues to decelerate."
3390,Available survey indicators continue to signal an ongoing stabilisation of economic activity.
3391,"In particular, the euro area should benefit from the inventory cycle and a recovery in exports, as well as from the significant macroeconomic stimulus under way and the measures adopted to restore the functioning of the financial system."
3392,"Moreover, we decided that the rate in the last 12-month longer-term refinancing operation, to be allotted on 16 December 2009, will be fixed at the average minimum bid rate of the MROs over the life of this operation."
3393,"Following the 0.4% quarter-on-quarter increase in real GDP in the third quarter of 2009, the latest information confirms that towards the end of last year economic activity in the euro area continued to expand."
3394,"The euro area has been benefiting from a turn in the inventory cycle and a recovery in exports, as well as from the significant macroeconomic stimulus under way and the measures adopted to restore the functioning of the financial system."
3395,"The Governing Council also decided to return to variable rate tender procedures in the regular three-month longer-term refinancing operations (LTROs), starting with the operation to be allotted on 28 April 2010."
3396,"Available indicators, in particular further positive information from business surveys, suggest that the economic recovery in the euro area continued in the early months of 2010, although it may have been affected by a number of special factors, including adverse weather conditions."
3397,Monetary policy will do all that is necessary to maintain price stability in the euro area over the medium term.
3398,"This is the necessary and central contribution that monetary policy makes to fostering sustainable economic growth, job creation and financial stability."
3399,"All the non-standard measures taken during the period of acute financial market tensions, referred to as “enhanced credit support” and the Securities Markets Programme, are fully consistent with our mandate and, by construction, temporary in nature."
3400,"All the non-standard measures taken during the period of acute financial market tensions, referred to as “enhanced credit support” and the Securities Markets Programme, are fully consistent with our mandate and, by construction, temporary in nature."
3401,"Furthermore, it has decided to conduct the 3-month longer-term refinancing operations (LTROs), to be carried out in October, November and December 2010, as fixed rate tender procedures with full allotment."
3402,"Accordingly, the Governing Council will continue to monitor all developments over the period ahead very closely.
"
3403,"Accordingly, the Governing Council will continue to monitor all developments over the period ahead very closely.
"
3404,"Overall, the current monetary policy stance remains accommodative."
3405,"Inflation expectations remain firmly anchored in line with our aim of keeping inflation rates below, but close to, 2% over the medium term."
3406,"Accordingly, the Governing Council will continue to monitor all developments over the period ahead very closely.
"
3407,"We will continue to monitor very closely all developments with respect to upside risks to price stability. 
"
3408,"As stated on previous occasions, the provision of liquidity and the allotment modes for refinancing operations will also be adjusted when appropriate, taking into account the fact that all the non-standard measures taken during the period of acute financial market tensions are, by construction, temporary in nature. 
"
3409,"This is a prerequisite for monetary policy to make an ongoing contribution towards supporting growth and job creation in the euro area. 
"
3410,"The provision of liquidity and the allotment modes for refinancing operations will be adjusted when appropriate, taking into account the fact that all the non-standard measures taken during the period of acute financial market tensions are, by construction, temporary in nature. 
"
3411,"We will continue to monitor very closely all developments with respect to upside risks to price stability. 
"
3412,"We will continue to monitor very closely all developments.
"
3413,"The Governing Council has decided to conduct two longer-term refinancing operations (LTROs), one with a maturity of approximately 12 months in October and the other with a maturity of approximately 13 months in December."
3414,The provision of liquidity and the allotment modes for refinancing operations will continue to ensure that euro area banks are not constrained on the liquidity side.
3415,The operations will be conducted as fixed rate tender procedures with full allotment.
3416,"The provision of liquidity and the allotment modes for refinancing operations will continue to support euro area banks, and thus the financing of the real economy."
3417,Further details will be provided in a press release to be published today at 3.30 p.m.
3418,The first impact of these measures has been positive.
3419,"It is also important to keep in mind that all our non-standard monetary policy measures are temporary in nature and that all the necessary tools are available to address upside risks to medium-term price stability in a firm and timely manner. 
"
3420,This combination of measures has helped both the financial environment and the transmission of our monetary policy.
3421,The rates in these three-month operations will be fixed at the average rate of the MROs over the life of the respective LTRO.
3422,Indicators for the second quarter of 2012 point to a renewed weakening of economic growth and heightened uncertainty.
3423,"As implementation takes time and financial markets often only adjust once success becomes clearly visible, governments must stand ready to activate the EFSF/ESM in the bond market when exceptional financial market circumstances and risks to financial stability exist – with strict and effective conditionality in line with the established guidelines. 
"
3424,"Let me repeat what I said last month: we act strictly within our mandate to maintain price stability over the medium term; we act independently in determining monetary policy; and the euro is irreversible. 
"
3425,"We are ready to undertake OMTs, once all the prerequisites are in place."
3426,"Euro area real GDP contracted by 0.2%, quarter on quarter, in the second quarter of 2012, following flat growth in the previous quarter."
3427,"This procedure will also remain in use for the Eurosystem’s special-term refinancing operations with a maturity of one maintenance period, which will continue to be conducted for as long as needed, and at least until the end of the second quarter of 2013."
3428,"Let me now explain our assessment in greater detail, starting with the economic analysis."
3429,This reflects the improvement in financial market confidence.
3430,"In net terms, this implies that, of the increase in the outstanding volume of bank refinancing through the ECB’s monetary policy operations of around €500 billion between mid-December 2011 and early March 2012, about €200 billion have now been repaid."
3431,"Let me now explain our assessment in greater detail, starting with the economic analysis."
3432,"Second, we are closely monitoring money market conditions and their potential impact on our monetary policy stance and its transmission to the economy."
3433,"Output has thus declined for six consecutive quarters, with labour market conditions remaining weak."
3434,"In the period ahead, we will monitor all incoming information on economic and monetary developments and assess any impact on the outlook for price stability.
"
3435,"In the period ahead, we will monitor all incoming information on economic and monetary developments and assess any impact on the outlook for price stability. 
"
3436,"In the period ahead, we will monitor all incoming information on economic and monetary developments and assess any impact on the medium-term outlook for price stability."
3437,"This expectation continues to be based on an unchanged overall subdued outlook for inflation extending into the medium term, given the broad-based weakness in the economy and subdued monetary dynamics."
3438,"We are ready to consider all available instruments and, in this context, we decided today to continue conducting the main refinancing operations (MROs) as fixed rate tender procedures with full allotment for as long as necessary, and at least until the end of the 6th maintenance period of 2015 on 7 July 2015."
3439,"Following a rise of 0.3% in the second quarter of 2013, real GDP in the euro area increased by 0.1%, quarter on quarter, in the third quarter."
3440,"As previously stated, this expectation is based on an overall subdued outlook for inflation extending into the medium term, given the broad-based weakness of the economy and subdued monetary dynamics."
3441,"Overall, we remain firmly determined to maintain the high degree of monetary accommodation and to take further decisive action if required. 
"
3442,"Overall, we remain firmly determined to maintain the high degree of monetary accommodation and to take further decisive action if required. 
"
3443,"Let me now explain our assessment in greater detail, starting with the economic analysis."
3444,"Further information and analysis concerning the outlook for inflation and the availability of bank loans to the private sector will be available in early June. 
"
3445,Let me now briefly describe the individual measures decided today.
3446,A press release on the modalities for the TLTROs will be published today at 3.30 p.m.
3447,"Concerning our forward guidance, the key ECB interest rates will remain at present levels for an extended period of time in view of the current outlook for inflation."
3448,They will further enhance the functioning of the monetary policy transmission mechanism and support the provision of credit to the broad economy.
3449,As all our measures work their way through to the economy they will contribute to a return of inflation rates to levels closer to our aim.
3450,"Should it become necessary to further address risks of too prolonged a period of low inflation, the Governing Council is unanimous in its commitment to using additional unconventional instruments within its mandate."
3451,"In response to the request of the Governing Council, ECB staff and the relevant Eurosystem committees have stepped up the technical preparations for further measures, which could, if needed, be implemented in a timely manner."
3452,"Some additional eligibility criteria will be applied in the case of countries under an EU/IMF adjustment programme. 
"
3453,The substantial additional easing of our monetary policy stance supports and reinforces the emergence of more favourable developments for the euro area economy.
3454,"Domestic demand, especially private consumption, continued to be the main driver behind the ongoing recovery."
3455,"Looking ahead, we expect the economic recovery to broaden."
3456,"If any factors were to lead to an unwarranted tightening of monetary policy, or if the outlook for price stability were to materially change, the Governing Council would respond to such a situation by using all the instruments available within its mandate. 
"
3457,These purchases have a favourable impact on the cost and availability of credit for firms and households.
3458,"Let me now explain our assessment of the available information in greater detail, starting with the economic analysis."
3459,The latest staff projections incorporate the favourable financial market developments following our last monetary policy meeting.
3460,"Let me now explain our assessment in greater detail, starting with the economic analysis."
3461,"Fourth, we decided to launch a new series of four targeted longer-term refinancing operations (TLTRO II), starting in June 2016, each with a maturity of four years."
3462,"In the current context, it is crucial to ensure that the very low inflation environment does not become entrenched in second-round effects on wage and price setting.
"
3463,"In the current context, it is crucial to ensure that the very low inflation environment does not become entrenched in second-round effects on wage and price setting."
3464,"Let me now explain our assessment in greater detail, starting with the economic analysis."
3465,"Let me now explain our assessment in greater detail, starting with the economic analysis."
3466,"The latest data and survey results point to continued growth in the third quarter of 2016, at around the same pace as in the second quarter."
3467,"In particular, the extension of our purchases over a longer horizon allows for a more sustained market presence and, therefore, a more lasting transmission of our stimulus measures."
3468,A very substantial degree of monetary accommodation is needed for euro area inflation pressures to build up and support headline inflation in the medium term.
3469,"If the outlook becomes less favourable, or if financial conditions become inconsistent with further progress towards a sustained adjustment in the path of inflation, we stand ready to increase our asset purchase programme in terms of size and/or duration.
"
3470,"Euro area real GDP increased by 0.5%, quarter on quarter, in the fourth quarter of 2016, following a growth rate of 0.4% in the third quarter."
3471,"If the outlook becomes less favourable, or if financial conditions become inconsistent with further progress towards a sustained adjustment in the path of inflation, we stand ready to increase our asset purchase programme in terms of size and/or duration.
"
3472,"If the outlook becomes less favourable, or if financial conditions become inconsistent with further progress towards a sustained adjustment in the path of inflation, we stand ready to increase our asset purchase programme in terms of size and/or duration.
"
3473,"This autumn we will decide on the calibration of our policy instruments beyond the end of the year, taking into account the expected path of inflation and the financial conditions needed for a sustained return of inflation rates towards levels that are below, but close to, 2%.
"
3474,"At the same time, domestic price pressures are still muted overall and the economic outlook and the path of inflation remain conditional on continued support from monetary policy."
3475,"This continued monetary support is provided by the additional net asset purchases that we decided on at our October monetary policy meeting, by the sizeable stock of acquired assets and the forthcoming reinvestments, and by our forward guidance on interest rates.
"
3476,"Overall, an ample degree of monetary stimulus remains necessary for underlying inflation pressures to continue to build up and support headline inflation developments over the medium term."
3477,"Let me now explain our assessment in greater detail, starting with the economic analysis."
3478,"Let me now explain our assessment in greater detail, starting with the economic analysis."
3479,"This support will continue to be provided by the net asset purchases until the end of the year, by the sizeable stock of acquired assets and the associated reinvestments, and by our enhanced forward guidance on the key ECB interest rates."
3480,"Quarterly real GDP growth moderated to 0.4% in the first quarter of 2018, following growth of 0.7% in the previous three quarters."
3481,"Let me now explain our assessment in greater detail, starting with the economic analysis."
3482,"Let me now explain our assessment in greater detail, starting with the economic analysis."
3483,"Let me now explain our assessment in greater detail, starting with the economic analysis."
3484,"Euro area real GDP increased by 0.2%, quarter on quarter, in the third quarter of 2018, following growth of 0.4% in the previous two quarters."
3485,"Today’s monetary policy decisions were taken to ensure that inflation remains on a sustained path towards levels that are below, but close to, 2% over the medium term."
3486,"However, an ample degree of monetary accommodation remains necessary to safeguard favourable financing conditions and support the economic expansion, and thus to ensure that inflation remains on a sustained path towards levels that are below, but close to, 2% over the medium term."
3487,"Today’s monetary policy decisions were taken to provide the monetary accommodation necessary for inflation to remain on a sustained path towards levels that are below, but close to, 2% over the medium term."
3488,"Let me now explain our assessment in greater detail, starting with the economic analysis."
3489,"The maturity of the operations will be extended from two to three years. 
"
3490,"This will support the euro area expansion, the ongoing build-up of domestic price pressures and, thus, the sustained convergence of inflation to our medium-term inflation aim. 
Let me now explain our assessment in greater detail, starting with the economic analysis."
3491,"This will support the euro area expansion, the ongoing build-up of domestic price pressures and, thus, the robust convergence of inflation to our medium-term aim. 
"
3492,The unfolding monetary policy measures are underpinning favourable financing conditions for all sectors of the economy.
3493,"First, we decided to conduct, temporarily, additional longer-term refinancing operations (LTROs) to provide immediate liquidity support to the euro area financial system."
3494,"Accordingly, the Governing Council decided today to further ease the conditions on our targeted longer-term refinancing operations (TLTRO III)."
3495,"The purchases will continue to be conducted in a flexible manner over time, across asset classes and among jurisdictions."
3496,This allows us to effectively stave off risks to the smooth transmission of monetary policy.
3497,"The purchases will continue to be conducted in a flexible manner over time, across asset classes and among jurisdictions."
3498,"This will foster the convergence of inflation towards its aim in a sustained manner, in line with its commitment to symmetry. 
"
3499,We will purchase flexibly according to market conditions and with a view to preventing a tightening of financing conditions that is inconsistent with countering the downward impact of the pandemic on the projected path of inflation.
3500,"We continue to stand ready to adjust all of our instruments, as appropriate, to ensure that inflation moves towards our aim in a sustained manner, in line with our commitment to symmetry. 
"
3501,"If sizeable and persistent, increases in these market interest rates, when left unchecked, could translate into a premature tightening of financing conditions for all sectors of the economy."
3502,"Since the incoming information confirmed the joint assessment of financing conditions and the inflation outlook carried out at the March monetary policy meeting, the Governing Council expects purchases under the PEPP over the current quarter to continue to be conducted at a significantly higher pace than during the first months of the year.
"
3503,"However, market interest rates have increased further."
3504,"The outlook for inflation over the medium term remains subdued. 
"
3505,"The economy rebounded by 2.2 per cent in the second quarter of the year, which was more than expected."
3506,"The economy continued to grow strongly in the third quarter, even though momentum moderated to some extent."
3507,"The inflation outlook has been revised up, but inflation is still projected to settle below our two per cent target over the projection horizon.
"
3508,"I will now outline in more detail how we see the economy and inflation developing, and will then talk about our assessment of financial and monetary conditions.
"
3509,Inflation has continued to surprise on the upside because of unexpectedly high energy costs.
3510,"The Governing Council will take whatever action is needed to fulfil the ECB’s mandate to pursue price stability and to contribute to safeguarding financial stability.
"
3511,"It is disrupting trade, is leading to shortages of materials and is contributing to high energy and commodity prices."
3512,"The TPI will be an addition to our toolkit and can be activated to counter unwarranted, disorderly market dynamics that pose a serious threat to the transmission of monetary policy across the euro area."
3513,"Very high energy prices are reducing the purchasing power of people’s incomes and, although supply bottlenecks are easing, they are still constraining economic activity."
3514,"In addition, the Governing Council stressed that such structural improvements at the global level would have to be accompanied by sound policies at home."
3515,"According to the same source, the slowdown is expected to be only temporary and real GDP growth is anticipated to strengthen again in 2000, with the contribution of net trade improving."
3516,"Equally, it will help to sustain and foster the employment growth that has been seen recently, thereby supporting private consumption. 
"
3517,"Therefore, the Governing Council intends to terminate this measure following its meeting on 21 January 1999."
3518,This first operation of the Eurosystem was successfully settled today.
3519,"Although they are not considered by the Governing Council to imply inflationary risks at this juncture, in particular the developments in credit growth will need to be carefully monitored in the coming months. 
"
3520,"Against this background and in view of the uncertainty relating to special factors pertaining to the changeover to the Stage Three environment and the introduction of the euro, the Governing Council does not consider the acceleration of M3 at the start of Stage Three as a signal of future inflationary pressures."
3521,"After having risen somewhat in February 1999, in tandem with US bond yields, during March euro area government bond yields remained broadly unchanged."
3522,"In addition, the three-month moving average of M3 growth remains relatively close to the reference value of 4½%. 
"
3523,"In our view, this upward movement of long-term bond yields primarily reflected a spillover of developments in the US bond market, where a larger increase was seen."
3524,"In the view of the Governing Council, this situation is not seen as threatening price stability at present."
3525,"Concerning financial market indicators, the upturn in long-term interest rates in the euro area seen since early May continued in August and early September."
3526,"While it is likely that this increase is related to expectations of a recovery of activity in the euro area, expectations of increasing inflationary pressure may also play a role. 
"
3527,"In particular, an increase in interest rates now should help to counteract further liquidity growth over the medium term and contribute to maintaining inflation expectations safely below 2%. 
"
3528,The annual growth rate of M3 in October 1999 was 6.0%.
3529,"This is also confirmed by the continued strong growth of loans to the private sector (10.1% in November, compared with 9.9% in October 1999). 
"
3530,"In fact, it will be important to ensure that wage settlements themselves do not constitute a threat to price stability in the medium term. 
"
3531,"A key element underlying this positive outlook is the fact that the US economy is continuing to grow at a high rate, but the strong recovery and the acceleration of growth in other areas also support this view."
3532,"As laid down in the Treaty, each member of the Governing Council is therefore well aware that he or she is not a representative of a country or central bank but acts in a personal capacity in deciding the appropriate conduct of monetary policy for the euro area as a whole. 
"
3533,The exchange rate of the euro does not reflect the ongoing improvement in domestic fundamentals in the euro area economy.
3534,"In March consumer price inflation, as measured by increases in the Harmonised Index of Consumer Prices (HICP), rose to 2.1%, up from 2.0% in the previous month."
3535,"Today's increase in ECB interest rates is a decisive step to address these upside risks to price stability and it will contribute to the continuation of non-inflationary growth in the euro area. 
"
3536,"Industrial and consumer confidence both remain at, or close to, record high levels."
3537,"In fact, recent indicators suggest that, following the period of acceleration, the economic expansion may now have settled at a high rate of growth."
3538,"Turning to the second pillar, we had a thorough discussion on the main factors of relevance to the outlook for price stability at the current juncture. 
"
3539,"As foreseen at the time of the Governing Council meeting two weeks ago, energy price developments have had a strong impact on inflation rates; in September the HICP rate ofinflation rose further to 2.8%, compared with 2.3% in August and 2.4% in July."
3540,"This should help to avoid any sustained negative effect on confidence, and thereby ensure that the impact of high oil prices on growth remains moderate over the medium term. 
"
3541,"As for key indicators related to the second pillar, the assessment is currently complicated by increased uncertainty."
3542,"This is likely to result, directly and via a spillover to other regions, in some deceleration of growth in the world economy."
3543,"The rate of increase in energy prices continued to decline, but other HICP components, notably unprocessed food and services prices, rose significantly."
3544,"Over recent months, the energy component has again been affected by fluctuations in oil prices and the exchange rate of the euro."
3545,The ECB will keep the public informed about ongoing developments in these categories of M3.
3546,"This is consistent with the strong economic fundamentals of the euro area, current and planned tax reforms, and favourable financing conditions. 
"
3547,"These developments are expected to take place in an environment of weaker economic growth, which should, however, remain broadly in line with trend potential growth of the euro area."
3548,"If no further unfavourable shocks occur, it is likely that annual rates of inflation will start to fall and reach rates of below 2% in 2002 - although the decrease from current levels over the months to come may be subject to some volatility."
3549,"In addition, consumption growth in the euro area has been dampened by losses in real disposable income related to past increases in consumer prices."
3550,This concerns in particular the international environment.
3551,"Overall, despite the acceleration in M3 growth, current monetary developments do not signal risks to price stability in the medium term."
3552,"The recent strong M3 growth confirmed our previous assessment that, in the phase of relatively high financial market uncertainty after the terrorist attacks on the United States, investors have shifted their portfolios towards liquid and relatively safe short-term assets included in M3."
3553,"Continued close monitoring of further incoming information is thus warranted. 
"
3554,"The maintenance of price stability – the ECB's primary objective –, the independence of the Eurosystem and the provisions safeguarding fiscal discipline, in particular as enshrined in the Stability and Growth Pact, are among the hallmarks of this framework."
3555,Coincident and forward-looking indicators increasingly point to improvements in economic conditions.
3556,Real GDP growth rates in the euro area should again be in line with potential growth later this year.
3557,"Finally, sound fundamentals and the absence of major imbalances support the positive outlook for the euro area economy."
3558,"Despite this rather positive outlook, the assessment of the short-term dynamics of real activity is still surrounded by uncertainty."
3559,"While due caution in interpreting recent short-term monetary developments is warranted, it is a matter of concern that there is significantly more liquidity available in the euro area than would be needed to finance sustainable, non-inflationary economic growth. 
"
3560,"However, overall domestic demand growth remained subdued as a result of the protracted weakness of investment. 
"
3561,"Against this background, previous expectations of an acceleration in economic growth in 2002 will not materialise."
3562,"This uncertainty is associated with geopolitical tensions, the evolution of oil prices and developments in stock markets. 
"
3563,M3 growth has been influenced considerably by portfolio re-allocations in an environment of general uncertainty and particularly by stress in financial markets.
3564,"Although some stabilisation in financial markets has been observed over the past couple of months, investors continue to perceive a high level of uncertainty."
3565,"Whereas the appreciation of the euro over recent months may contribute to dampening export growth to some extent, the price competitiveness of euro area companies remains favourable in a medium-term perspective and export growth should benefit from the expected recovery of the world economy."
3566,"In addition, some base effects related to food prices may have contributed to the renewed increase in annual inflation in February. 
"
3567,"In particular, the persistence of geopolitical tensions continued to negatively affect sentiment and dampen economic activity, thereby adding to the forces which had already depressed the outlook for the euro area before the escalation of tensions in the Middle East."
3568,"In the context of our economic analysis, focusing on the short to medium term, recently published survey data and the latest information from conjunctural indicators suggest that economic activity in the euro area has remained subdued so far this year."
3569,"On the external side, the expected upturn in extra-euro area demand should compensate for the dampening effect of the appreciation of the euro."
3570,"Turning to price developments, the outlook over the medium term remains favourable."
3571,"Furthermore, real disposable income in the euro area should be positively affected by terms-of-trade effects stemming from the past appreciation of the euro. 
"
3572,"This, together with the low level of interest rates, should contribute to a recovery in investment."
3573,"Domestically, the conditions for investment should improve further, given the continued adjustment efforts of firms to enhance productivity and profitability, the low level of interest rates and generally favourable financing conditions."
3574,"With the usual lag, it should also profit from an increase in employment growth."
3575,"On the external side, recent exchange rate developments are having a negative impact on the price competitiveness of euro area exporters, but thus far this should be partly compensated for by the ongoing expansion of global demand."
3576,"This assessment is reflected in all available forecasts from official and private sources and seems to be confirmed by developments in financial markets.
"
3577,"On the domestic side, the conditions for a recovery in private demand are in place."
3578,"First, global economic growth is robust and broadly based, both geographically and across sectors, thereby providing a positive external environment for the euro area."
3579,"First, global economic growth continues to be robust and world trade has strengthened."
3580,"The Governing Council continues to base its monetary policy decisions on a comprehensive economic analysis, which is cross-checked with the monetary analysis.
"
3581,"Moreover, the recovery of private consumption should proceed in line with increases in real disposable income and the anticipated subsequent strengthening of employment growth."
3582,"On the domestic side, investment should benefit from the positive global environment and the very favourable financing conditions."
3583,"All in all, the growth momentum seen in the euro area in the first half of 2004 should be broadly maintained in the coming quarters, in line with available forecasts from international organisations."
3584,"However, this outlook is surrounded by continuing uncertainty, in particular stemming from recent developments in oil markets."
3585,Euro area exports should continue to benefit from global demand conditions.
3586,The strength of global demand should help to sustain euro area exports.
3587,"On the domestic side, reducing uncertainties associated with the extent and pace of fiscal and structural reforms would support consumption, as such uncertainties seem to be limiting private sector expectations of future real disposable income growth."
3588,"On the external side, growth in the world economy remains strong, supporting euro area exports."
3589,Consumption growth should develop in line with real disposable income growth.
3590,Consumption growth should evolve broadly in line with expected developments in disposable income.
3591,"Investment is expected to benefit from robust earnings, improvements in business efficiency and the very favourable financing conditions."
3592,"On the domestic side, investment should benefit from the very favourable financing conditions, the robust growth of corporate earnings currently observed and ongoing improvements in corporate efficiency."
3593,"On the domestic side, investment should benefit from very favourable financing conditions, the robust growth of corporate earnings and ongoing improvements in corporate efficiency."
3594,"On the external side, ongoing growth in global demand should support euro area exports."
3595,"At the same time, the outlook for economic activity remains subject to downward risks, relating mainly to oil prices, concerns about global imbalances and weak consumer confidence. 
"
3596,Private consumption should grow broadly in line with expected developments in real disposable income.
3597,"On the domestic side, investment should further benefit from continued very favourable financing conditions, robust corporate earnings and gains in corporate efficiency."
3598,"Consumption growth should also strengthen over time, in line with developments in real disposable income, as the labour market situation gradually improves."
3599,"Investment is expected to remain strong, benefiting from an extended period of very favourable financing conditions, corporate balance sheet restructuring and gains in earnings and business efficiency."
3600,"This outlook for economic activity is also confirmed by available forecasts from international organisations and private sector institutions. 
"
3601,"Consumption growth should also strengthen over time, in line with developments in real disposable income, as the labour market situation continues to improve."
3602,"Looking further ahead, the conditions are in place for growth in the euro area to remain close to its trend potential rate, despite the impact of the rise in oil prices."
3603,"Consumption growth in the euro area should also strengthen gradually over time, in line with developments in real disposable income, as employment conditions improve further."
3604,"Moreover, the currently available information on economic activity in the second quarter – such as various confidence surveys and monthly indicators – supports the view that economic growth has continued at a sustained pace."
3605,"Global economic activity remains robust, providing support for euro area exports."
3606,"All in all, the economic recovery now appears somewhat stronger than on the basis of earlier data."
3607,"All in all, the assessment of a more broadly based and more self-sustaining recovery continues to be confirmed by the incoming data, notwithstanding some possibility of a somewhat slower pace of quarter-on-quarter real GDP growth in the second half of this year than in the first.
"
3608,"While some volatility in the quarterly growth rates is likely to emerge around the turn of the year, associated with the impact of changes in indirect taxes in a large euro area country, the medium-term outlook for economic activity remains favourable."
3609,"Drawing on the latest information, the evidence from various confidence surveys and indicator-based estimates supports the assessment that robust economic growth has continued and that the situation in labour markets has improved further."
3610,Domestic demand in the euro area is expected to maintain its momentum.
3611,"Looking ahead, the medium-term outlook for economic activity remains favourable."
3612,"Looking further ahead, the conditions are in place for the euro area economy to grow solidly."
3613,External conditions thus continue to provide support for euro area exports.
3614,The conditions are in place for the euro area economy to continue to grow at a sustained rate.
3615,External conditions thus continue to provide support for euro area exports.
3616,"Euro area real GDP growth in the second quarter moderated to 0.3% quarter on quarter, compared with 0.7% in the previous quarter."
3617,"As regards the financial markets, we will continue to pay great attention to developments over the period to come.
"
3618,"While financial market volatility seems to have contributed to a decline in euro area consumer and business confidence indicators in the past few months, these indicators generally remain above their historical averages and continue to point to ongoing sustained growth."
3619,"Domestic demand remained the main driver of economic growth in the third quarter, confirming the sustained nature of economic expansion in the euro area."
3620,"Allow me to explain our assessment in greater detail, starting with the economic analysis. 
"
3621,This assessment is broadly in line with available forecasts from private and public-sector sources.
3622,The latest information on economic activity confirms the picture of moderating growth around the turn of the year.
3623,"Allow me to explain our assessment in greater detail, starting with the economic analysis. 
"
3624,"Allow me to explain our assessment in greater detail, starting with the economic analysis. 
"
3625,"By acting in a firm and timely manner, we will prevent second-round effects and ensure that risks to price stability over the medium term do not materialise."
3626,"As we have stressed previously, the quarterly growth rates for the first half of this year have been subject to strong temporary and compensatory factors, notably weather-related effects on the profile of construction activity."
3627,"As indicated on previous occasions, this represents partly a technical reaction to the strong growth seen in the first months of the year."
3628,"In terms of quarter-on-quarter growth, private consumption declined by 0.2% and there was a perceptible weakness in investment, which fell by 1.2%."
3629,"When analysing current developments in economic activity, it needs to be stressed that we face an extraordinarily high degree of uncertainty, in large part stemming from the recent intensification of the financial market turmoil."
3630,"Accordingly, we will continue to monitor very closely all developments over the period ahead. 
"
3631,"Since September, there has been an intensification and broadening of the financial market turmoil."
3632,"The Governing Council will continue to keep inflation expectations firmly anchored in line with its medium-term objective of inflation rates below, but close to, 2%."
3633,"Taken together with other available economic data for the euro area, this points to very negative quarter-on-quarter real GDP growth in the last quarter of 2008. 
"
3634,"Reflecting the impact of the financial market turmoil, the world economy has weakened substantially in recent months, affecting increasingly also emerging market economies."
3635,"Reflecting the impact of the financial market turmoil, economic activity has weakened markedly in the euro area, as domestic demand has contracted in parallel with the downturn in the world economy."
3636,"These decisions have been taken to promote the ongoing decline in money market term rates, to encourage banks to maintain and expand their lending to clients, to help to improve market liquidity in important segments of the private debt security market, and to ease funding conditions for banks and enterprises.
"
3637,This will have a significant negative impact on the average growth rate for 2009.
3638,The data and survey information that have become available since our last press conference in early June have broadly confirmed our previous expectations.
3639,"While uncertainty is still high, there are increasingly signs that the global recession is bottoming out."
3640,"Against this background, we expect price stability to be maintained over the medium term, thereby continuing to support the purchasing power of euro area households.
"
